type_of_marine_megafauna_subsidy,interaction_type,type_of_ecological_effect,marine_megafauna_group,marine_megafauna_common_name,marine_megafauna_species,consumer_species_common_name,consumer_species_name,description_of_effect,notes_on_methods,country,state_region,decimal_latitude,decimal_longitude,source,authors,link,notes
Marine Mammals as Food,Carcass scavenging,Diet (KEEP B/C HISTORICAL),Cetaceans,NA,NA,Andean condor,Vultur gryphus,"In the last century, reduced abundance of stranded marine mammal carcasses has driven a dietary shift in Andean condors. Condors reduced their use of marine-derived prey in recent compared with historical times from 33 +/- 13% to less than 8 +/- 3%.",NA,Chile,South-central chilean coast,-41.450077,-72.158647,"Tracking data and retrospective analyses of diet reveal the consequences of loss of marine subsidies for an obligate scavenger, the Andean condor",Lambertucci et al,10.1098/rspb.2018.0550,NA
Marine Mammal Vectored,NA,Community- and ecosystem-level,Pinnipeds,Australian sea lion,Neophoca cinerea,NA,NA,"Marine nutrients vectored into terrestrial ecosystems by a threatened and declining population of Australian sea lions provides 3800 (+/- 80) kg N per year to Seal Bay Conservation Park, Australia, a comparable nutrient input to colonies of wedge-tailed shearwaters.",NA,Australia,Kangaroo Island,-35.992491,137.319033,"Nitrogen transport from sea to land by a threatened and declining population of Australian sea lions (Neophoca cinerea) on Kangaroo Island, South Australia",Lavery et al,10.1071/AM12029,NA
Marine Mammals as Food,"Predation, Carcass scavenging",Consumer health,"Cetaceans, Pinnipeds",Multiple spp.,NA,Polar bear,Ursus maritimus,"Fatty acid analysis reveals that polar bear diet is influenced by both season and climate.A human-procisioned onshore food source—subsistence-harvested bowhead whale ""bone piles""—influencing foraging ecology and increasing body condition.",NA,United States,Alaska,70.500279,-149.653721,Temporal complexity of southern Beaufort Sea polar bear diets during a period of increasing land use,McKinney et al.,10.1002/ecs2.1633,NA
Marine Mammals as Food,Carcass scavenging,Consumer abundance,Pinnipeds,Multiple spp. (especially Ringed seal),Pusa hispida,Arctic fox,Alopex lagopus,"Population size of arctic foxes on Svalbard Island have been stable over two decades, despite the loss of sea ice and consequent decline in access to marine resources (terrestrial inputs compensated for marine resource loss). Compensatory resource inputs from marine and terrestrial ecosystems may increase the resilience of opportunistic predators to climate-driven changes in prey abundance.",NA,Norway,Svalbard,77.823109,14.955587,Contributions from terrestrial and marine resources stabilize predator populations in a rapidly changing climate,Nater et al,10.1002/ecs2.3546,NA
Marine Mammal Vectored,NA,Community- and ecosystem-level,Pinnipeds,"Crabeater seal, Weddell seal, Leopard seal","Lobodon carcinophaga, Leptonychotes weddellii, Hydrurga leptonyx",NA,NA,"Seal carcasses in the Ulu Peninsula, Antarctica, serve as loci of nutrient release in a nutrient-poor environment and are scavenged by skuas and colonized by algae, cyanobacteria, lichens, and mosses.",NA,Antarctica,James Ross Island,-63.839805,-57.889698,"Death age, seasonality, taphonomy and colonization of seal carcasses from Ulu Peninsula, James Ross Island, Antarctic Peninsula",Nývlt et al.,10.1017/S095410201500036X,NA
Marine Mammals as Food,Carcass scavenging,Consumer behavior,Cetaceans,Bowhead whale,Balaena mysticetus,Polar bear,Ursus maritimus,"Polar bears, when on land, are spatially aggregated near scavenge subsidies in the form of subsistence-hunted bowhead whale “bone piles.”",NA,"United States, Canada","Southern Beaufort Sea (Alaska USA, Yukon, Northwest Territories CA)","69.579892,",-139.118009,Summer refugia of polar bears (Ursus maritimus) in the southern Beaufort Sea,Pongracz et al.,10.1007/s00300-016-1997-8,NA
Marine Mammal Vectored,NA,Community- and ecosystem-level,Pinnipeds,"Antarctic fur seal, Southern elephant seal","Arctocephalus gazella, Mirounga leonina",NA,NA,Seal colonies alter Antarctic soil physiochemical properties to a lesser extent than penguins.,NA,Antarctica,"King George Island, Livingston Island",-62.329633,-59.229999,Diversity of microbial communities and genes involved in nitrous oxide emissions in Antarctic soils impacted by marine animals as revealed by metagenomics and 100 metagenome-assembled genomes,Ramírez-Fernández et al.,10.1016/j.scitotenv.2021.147693,NA
Marine Mammal Vectored,NA,Community- and ecosystem-level,Pinnipeds,"Antarctic fur seal, Southern elephant seal","Arctocephalus gazella, Mirounga leonina",NA,NA,Seal colonies alter Antarctic soil physiochemical properties and alter bacterial community composition.,NA,Antarctica,Livingston Island,"-62.519939,",-60.766642,"Seabird and pinniped shape soil bacterial communities of their settlements in Cape Shirreff, Antarctica",Ramírez-Fernández et al.,10.1371/journal.pone.0209887,NA
Indirect Effects,NA,Other,Marine Otters,Sea otter,Enhydra lutris,Bald eagle,Haliaeetus leucocephalus,"Sea otter population declines were associated with changes in diet, dietary diversity, and breeding success and productivity of bald eagles in the Aleutian islands.",NA,United States,"Aleutian Islands (Amchitka, Kiska, Kiska, and Tanaga Islands)",51.513048,179.020166,Bald eagles and sea otters in the Aleutian archipelago: Indirect effects of trophic cascades,Anthony et al,10.1890/07-1818.1,NA
Marine Mammals as Food,Carcass scavenging,"Consumer behavior, Consumer health",Pinnipeds,Gray Seal,Halichoerus grypus,"Great black-backed gull, Herring gull","Larus marinus, Larus argentatus","Seal remains have increased in frequency of occurrence in the diet of two gull species, Great black-backed gulls (Larus marinus) and Herring gulls (Larus argentatus), over 40 years on Sable Island. This increase has corresponded with an exponential increase in the local seal (Halichoerus grypus) population. Great black-backed gulls were often seen agressively displacing smaller herring gulls from foraging opportunities on seal carcasses and exhibited greater blood δ13C and δ15N values than herring gulls, suggesting the possibly of niche partitioning between the gull species. Blood δ13C and δ15N values were positively correlated with head size for individual great black-backed gulls gulls, suggesting that larger individuals fed at higher trophic levels (i.e. on seals). Blood δ15N values were positively correlated with body condition for individual herring gulls, suggesting that feeding at higher trophic levels increased individual body condition.",Stable isotope (δ13C and δ15N) analysis of blood,Canada,"Sable Island, Nova Scotia",43.929588,-59.92371,"Gull diets reveal dietary partitioning, influences of isotopic signatures on body condition, and ecosystem changes at a remote colony",Ronconi et al,http://www.int-res.com/abstracts/meps/v514/p247-261/,NA
Marine Mammals as Food,"Predation, Carcass scavenging",Consumer abundance,Pinnipeds,"""seals"" (especially Ringed seal)",Pusa hispida,Arctic fox,Alopex lagopus,"Following a population decline of both arctic foxes and lemmings (Dicrostonyx richardsoni), the abundance of arctic foxes began to increase in concurrence with an arctic fox dietary shift towards greater rates of seal consumtion as inferred via stable isotope (δ13C) analysis of fur. During years with low lemming abundance, harvest rates of arctic and red foxes correlated with estimates of polar bear body mass, which varies with seal productivity, suggesting that variation in seal productivity affects the abundance of arctic foxes.",Stable isotope (δ13C) analysis of fur,Canada,"Cape Churchill, Manitoba",58.766368,-93.200334,Variability in marine resources affects arctic fox population dynamics,Roth (2003),10.1046/j.1365-2656.2003.00739.x,NA
Marine Mammal Vectored,NA,Community- and ecosystem-level,Pinnipeds (and seabirds),"Southern elephant seal, Subantarctic fur seal, Antarctic fur seal","Mirounga leonina, Arctocephalus tropicalis, Arctocephalus gazella",NA,NA,"(Review Paper) Seabirds and seals import large quantities of marine-derived nutrients to sub-Antarctic Marion Island when they breed and moult on the island. Seabirds and seals enhance soil and plant nutrient status, change primary producer assemblages, and alter the rate of a suite of decomposition processes including size and activity of microorganism populations, soil enzyme activity, and soil respiration rate.",NA,South Africa,Marion Island,-46.8964,37.7509,Energy flow and nutrient cycling in the Marion Island terrestrial ecosystem: 30 years on,Smith (2008),10.1017/S0032247407007218,NA
Marine Mammal Vectored,NA,Community- and ecosystem-level,Pinnipeds (and seabirds),"Southern elephant seal, Subantarctic fur seal, Antarctic fur seal","Mirounga leonina, Arctocephalus tropicalis, Arctocephalus gazella",NA,NA,"Seal and seabird manuring, by adding inorganic nutrients and energy rich organic substrates, is the most important determinant of soil respiration rate on sub-Antarctic Marion Island.",NA,South Africa,Marion Island,-46.8964,37.7509,"Moisture, carbon and inorganic nutrient controls of soil respiration at a sub-Antarctic island",Smith (2005),10.1016/j.soilbio.2004.07.026,NA
Marine Mammal Vectored,NA,Community- and ecosystem-level,Pinnipeds (and seabirds),"Southern elephant seal, Subantarctic fur seal, Antarctic fur seal","Mirounga leonina, Arctocephalus tropicalis, Arctocephalus gazella",NA,NA,"Seal and seabird manuring, by adding inorganic nutrients, is the most important determinant of soil respiration rate on sub-Antarctic Marion Island.",NA,South Africa,Marion Island,-46.8964,37.7509,Soil respiration and its determinants on a sub-Antarctic island,Smith (2003),10.1016/S0038-0717(02)00240-7,NA
Indirect Effects,NA,Other,"Cetaceans, Pinnipeds",Numerous species,NA,NA,NA,"Global nutrient cycling model comparing within- and across-ecosystem nutrient movement before and after late-Quaternary terrestrial megafaunal extinctions and marine megafaunal population declines in recent centuries. Model estimates that marine mammal declines have led to significant declines in vertical and lateral nutrient transfer in the ocean, including a 77% reduction in upwards phosphorous movement from the deep ocean. Nutrients vectored by marine mammals are part of an ""interlinked system recycling nutrients from the ocean depths to the continental interior.""",NA,Global,NA,NA,NA,Global nutrient transport in a world of giants,Doughty et al (2016),10.1073/pnas.1502549112,NA
Marine Mammal Vectored,NA,Community- and ecosystem-level,Pinnipeds,Antarctic fur seal,Arctocephalus gazella,NA,NA,Antarctic fur seal trampling and nutrient excretion decreases lichen diversity and modifies lichen community structure on Signy Island. Seal occurrence is associated with a large increase in soil N stock and decreased soil C:N ratio.,NA,Antarctica,South Orkney Islands,-60.7166667,-45.6333333,"Changes in lichen diversity and community structure with fur seal population increase on Signy Island, South Orkney Islands",Favero-Longo et al. (2011),10.1017/S0954102010000684,NA
Marine Mammal Vectored,NA,Community- and ecosystem-level,Pinnipeds,Antarctic fur seal,Arctocephalus gazella,NA,NA,"Following a rapid rise of seal numbers, an increase in Antarctic fur seal trampling and nutrient excretion drives damage to and loss of formerly widespread cryptogramic flora on Signy Island.",NA,Antarctica,South Orkney Islands,-60.7166667,-45.6333333,Destruction of antarctic terrestrial ecosystems by a rapidly increasing fur seal population,Smith et al. (1988),10.1016/0006-3207(88)90052-3,NA
Marine Mammal Vectored,NA,Community- and ecosystem-level,Pinnipeds,Antarctic fur seal,Arctocephalus gazella,NA,NA,"Coverage of Deschampsia antarctica and Colobanthus quitensis, Antarctica's two species of vascular plants, increased dramatically on Signy Island between the 1960s and 2009. Coverage increase is likely due to climate warming and nutrient input from Antarctic fur seals.",NA,Antarctica,South Orkney Islands,-60.7166667,-45.6333333,Vascular plant changes in extreme environments: effects of multiple drivers,Cannone et al (2016),10.1007/s10584-015-1551-7,NA
Marine Mammal Vectored,NA,Community- and ecosystem-level,Pinnipeds,Antarctic fur seal,Arctocephalus gazella,NA,NA,"Contrary to other findings, recognized fur seal disturbance was associated with larger and thicker moss banks on Signy Island. Seal disturbance was concentrated at low elevations, and the sensitivity of moss species to seal disturbance varied with species.",NA,Antarctica,South Orkney Islands,-60.7166667,-45.6333333,Ecology of moss banks on Signy Island (maritime Antarctic),Cannone et al (2017),10.1093/botlinnean/box040,NA
Marine Mammal Vectored,NA,Community- and ecosystem-level,Pinnipeds,Southern elephant seal,Mirounga leonina,NA,NA,Southern elephant seal trampling and fertilization changes nutrient availability and vegetation and soil invertebrate assemblages.,NA,South Africa,Marion Island,-46.8964,37.7509,"Influence of southern Elephant seals, Mirounga leonina, on the coastal moulting areas at Marion Island",Panagis (1984),10.1007/978-3-642-82275-9_24,NA
Marine Mammal Vectored,NA,Community- and ecosystem-level,Pinnipeds,Antarctic fur seal,Arctocephalus gazella,NA,NA,Increasing Antarctic fur seal presence in the catchment of Antarctic (Signy Island) Heywood Lake is associated with elevated nutrient influx into the lake via surface runoff.,NA,Antarctica,South Orkney Islands,-60.7166667,-45.6333333,Evidence for change in the chemistry of maritime Antarctic Heywood Lake,Ellis-Evans (1990),10.1007/978-3-642-84074-6_7,NA
Marine Mammal Vectored,NA,Community- and ecosystem-level,Pinnipeds,Antarctic fur seal,Arctocephalus gazella,NA,NA,Phytoplankton density increased with increasing nutrient loading in Signy Island lakes. Antarctic fur seal fertilization is implicated in lake eutrophication.,NA,Antarctica,South Orkney Islands,-60.7166667,-45.6333333,Eutrophication and vegetation development in maritime Antarctic lakes,Hawes (1990),10.1007/978-3-642-84074-6_8,NA
Marine Mammal Vectored,NA,Community- and ecosystem-level,Pinnipeds,Antarctic fur seal,Arctocephalus gazella,NA,NA,"Heywood Lake has become more eutrophic over the past three decades as a consequence of Antarctic fur seal-induced nutrient enrichment. This has resulted in increased microbial abundance and changes in both community structure and seasonal patterns, some of which are related to winter anoxia.",NA,Antarctica,South Orkney Islands,-60.7166667,-45.6333333,Seasonal dynamics of the planktonic microbial community in a maritime Antarctic lake undergoing eutrophication,Butler (1999),10.1093/plankt/21.12.2393,NA
Marine Mammal Vectored,NA,Community- and ecosystem-level,Pinnipeds,Antarctic fur seal,Arctocephalus gazella,NA,NA,"Antarctic fur seal-induced nutrient enrichment and subsequent eutrophication led to elevated dissolved organic carbon concentrations, a greater proportion of high molecular weight dissolved organic carbon, and high hydrolysable neutral sugar concentrations dominated by glucose in Heywood Lake.",NA,Antarctica,South Orkney Islands,-60.7166667,-45.6333333,"Concentration, Molecular Weight Distribution and Neutral Sugar Composition of DOC in Maritime Antarctic Lakes of Differing Trophic Status",Quayle and Convey (2006),10.1007/s10498-005-3882-x,NA
Marine Mammal Vectored,NA,Community- and ecosystem-level,Pinnipeds,Cape fur seal,Arctocephalus pusillus,NA,NA,"The cape fur seal rookery at cape cross increases atmospheric ammonia concentrations, potentially leading to ecological impacts following nitrogen deposition downwind.",No ecological effect documented on land. Remove later,Namibia,Cape Cross,-21.77278,13.953208,"Ammonia emissions from a Cape fur seal colony, Cape Cross, Namibia",Theobald et al (2006),10.1029/2005GL024384,NA
Marine Mammal Vectored,NA,Community- and ecosystem-level,Pinnipeds,Southern elephant seal,Mirounga leonina,NA,NA,"Elephant seal fertilization led to nutrient (N, P) and dissolved organic carbon enrichment in Gentoo Lake, Marion Island.",NA,South Africa,Marion Island,-46.8964,37.7509,Labile dissolved organic carbon and water temperature as regulators of heterotrophic bacterial activity and production in the lakes of Sub-Antarctic Marion Island,Robarts et al. (1991),10.1007/BF00239693,NA
Marine Mammal Vectored,NA,Community- and ecosystem-level,Pinnipeds,Southern elephant seal,Mirounga leonina,NA,NA,Southern elephant seal trampling and fertilization changes nutrient availability and vegetation and soil invertebrate assemblages.,NA,South Africa,Marion Island,-46.8964,37.7509,"Influence of southern Elephant seals, Mirounga leonina, on the coastal moulting areas at Marion Island",Panagis (1984),10.1007/978-3-642-82275-9_24,NA
Marine Mammal Vectored,NA,Community- and ecosystem-level,Pinnipeds (and seabirds),"Southern elephant seal, Subantarctic fur seal, Antarctic fur seal","Mirounga leonina, Arctocephalus tropicalis, Arctocephalus gazella",NA,NA,Seal and seabird manuring interact with temperature and other environmental factors to drive decomposition rate on sub-Antarctic Marion Island.,NA,South Africa,Marion Island,-46.8964,37.7509,Soil decomposition potential in relation to environmental factors on marion island (sub-antarctic),Smith et al (1993),10.1016/0038-0717(93)90018-7,NA
Marine Mammal Vectored,NA,Community- and ecosystem-level,Pinnipeds (and seabirds),"Southern elephant seal, Subantarctic fur seal, Antarctic fur seal","Mirounga leonina, Arctocephalus tropicalis, Arctocephalus gazella",NA,NA,Seal and seabird manuring is an important determinant of soil bacterial population size on Marion Island,NA,South Africa,Marion Island,-46.8964,37.7509,Bacterial populations in soils of a subantarctic island,French and Smith (1986),10.1007/BF00258256,NA
Marine Mammal Vectored,NA,Community- and ecosystem-level,Pinnipeds (and seabirds),"Southern elephant seal, Subantarctic fur seal, Antarctic fur seal","Mirounga leonina, Arctocephalus tropicalis, Arctocephalus gazella",NA,NA,"Seal and seabird manuring caused an increase in soil nutrients (N, P) and bacterial and fungal population sizes in mire and bog peats on Marion Island.",NA,South Africa,Marion Island,-46.8964,37.7509,Soil microbial counts in relation to site characteristics at a subantarctic Island,Smith and Steyn (1982(,10.1007/BF02011429,NA
Marine Mammal Vectored,NA,Community- and ecosystem-level,Pinnipeds (and seabirds),"Southern elephant seal, Subantarctic fur seal, Antarctic fur seal","Mirounga leonina, Arctocephalus tropicalis, Arctocephalus gazella",NA,NA,Seal and seabird fertilized soils provide suitable abiotic conditions for invasive springtails (Collembola) on Marion Island.,No direct test of marine influence on invasability.,South Africa,Marion Island,-46.8964,37.7509,Biological invasions of Southern Ocean islands: the Collembola of Marion Island as a test of generalities,Gabriel et al (2001),10.1111/j.1600-0587.2001.tb00477.x,NA
Marine Mammal Vectored,NA,Consumer behavior,Pinnipeds,South American sea lion,Otaria flavescens,Dolphin gull,Leucophaeus scoresbii,"Sea lion (and cormorant) colonies were the primary determinant of Dolphin gull space use, as dolphin gulls feed primarily on sea lion feces.",NA,Argentina,"Islas Bridges, Beagle Canal",-54.869754,-68.250124,"Distribution, abundance and associations of seabirds in the Beagle Channel, Tierra del Fuego, Argentina",Raya Rey and Schiavini (2000),10.1007/s003000050453,NA
Marine Mammals as Food,Carcass scavenging,"Consumer behavior, Consumer health",Pinnipeds,"Antarctic fur seal, Southern elephant seal","Arctocephalus gazella, Mirounga leonina",Northern giant petrel,Macronectes halli,"Satellite tracking revealed female Northern giant petrels foraged at sea, while males scavenged seal and penguin carcasses on the coast. Foraging efficiency (proportionate daily mass gain while foraging) was significantly greater for males than for females, suggesting a positive relationship between marine mammal/penguin scavenging and body condition. Sexual segregation in foraging may have arose from size-related dominance at carcasses, promoting sexual size dimorphism.",NA,England,"Bird Island, South Georgia",-54.0045,-38.048831,"Sexual dimorphism and sexual segregation in foraging strategies of northern giant petrels, Macronectes halli, during incubation.",González-Solís et al.,10.1034/j.1600-0706.2000.900220.x,NA
